PREFIXO,MANTENEDOR,PREFIXO AN,NOME DA ES,DE,ATE,LATITUDE,LONGITUDE,MUNICIPIO,MUNICIPI_1,BACIA HIDR,Nome UGHRI,N_UGRHI,Nome SUBUG,N_SUBUGRHI,REDE,PROPRIETAR,TIPO DE PO,AREA (Km2),BTL,cia_amb,COBACIA,OBS,TEMPO DE T,STATUS PCD,ULTIMA TRA,CONVENCION,LOGGER,TELEMETRIC,NIVEL,VAZAO,FICHA DE INSPECAO,ULTIMA DATA FI,FICHA DESCRITIVA,ULTIMA_ATUALIZACAO_FD,AQUIFERO,ALTIMETRIA
"1D-008",,,CRUZEIRO,"1971","2000",-22.58333333,-45.14,CRUZEIRO,Piquete,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,12075,3° BPAmb,"3400","7789544",REGISTRADOR MECÂNICO,,,,,,,,,,,,,,
"1E-001",,,FAZENDA DO CUME,"1958","1972",-23.06666667,-45.08,CUNHA,Cunha,R. JACUÍ,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,93,3° BPAmb,"3400","7789961",,,,,,,,,,,,,,,
"2D-005",,,PINDAMONHANGABA,"1955","1998",-22.91666667,-45.52,PINDAMONHANGABA,Pindamonhangaba,RIB. DO PINHÃO,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,81,3° BPAmb,"3400","77895593",,,,,,,,,,,,,,,
"2D-006",FCTH,"58206000",BAIRRO RIO COMPRIDO,"1972","1981",-22.79027778,-45.21222222,GUARATINGUETÁ,Guaratingueta,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,10696,3° BPAmb,"3400","7789556",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - FOI REGISTRADOR MECÂNICO - SEM OBSERVADOR - ESTAÇÃO MISTA D2-088,,ATIVO,,O,,,,,,,,,,
"2D-007",,,FAZENDA MODELO,"1954","1978",-22.95,-45.6,TREMEMBÉ,Tremembe,R. UNA,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,461,3° BPAmb,"3400","77895751",,,,,,,,,,,,,,,
"2D-008",,,FAZ. SANTANA,"2001","2006",-22.94694444,-46.10222222,SÃO JOSÉ DOS CAMPOS,Joanopolis,R. DO PEIXE,Piracicaba/Capivari/Jundiai,"5",Rio Atibaia,5_1,,SPÁguas,FLU,160,5° BPAmb,"5100","866648",LOGGER,,,,,,,,,,,,,,
"2D-013",FCTH,"58218200",CACHOEIRA PAULISTA,"1955","2022",-22.66166667,-45.0125,CACHOEIRA PAULISTA,Cachoeira Paulista,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,11411,3° BPAmb,"3400","77895531",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - FOI REGISTRADOR MECÂNICO,,ATIVO,,O,L,T,,,,,,,,
"2D-025",FCTH,"58192000",VÁRZEA DO PARAÍBA,"1959","1999",-22.87777778,-45.42722222,PINDAMONHANGABA,Pindamonhangaba,R. PARAÍBA DO SUL,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,9733,3° BPAmb,"3400","77895591",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - ESTAÇÃO MISTA D2-087 (INTERESSE AGEVAP),,ATIVO,,O,,,,,,,,,,
"2D-027",,,CORUPUTUBA -RÉGUA 14,"0","0",-22.83333333,-45.6,PINDAMONHANGABA,Pindamonhangaba,R. PARAÍBA DO SUL,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,,3° BPAmb,"3400","7789572",DE 1955 A 1970 SÓ NÍVEIS,,,,,,,,,,,,,,
"2D-028",FCTH,"58214000",LORENA / PIQUETE,"1964","1992",-22.69972222,-45.1425,LORENA,Lorena,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,11090,3° BPAmb,"3400","77895535",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - DE 1981 A 1989 S/ VAZÕES - SEM OBSERVADOR - ESTAÇÃO MISTA D2-086 (INTERESSE AGEVAP),,ATIVO,,O,L,T,,,,,,,,
